strategy,k,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
Strategy 1: Exact Match - Disease,5,0.14684512428298283,0.15299617245532263,0.06302913365386319,0.07759005371473715,0.08245109487934911,0.09034243993921011
Strategy 1: Exact Match - Disease,10,0.11558317399617592,0.10215645343704863,0.0975991812506202,0.10674652933333056,0.09796244026253183,0.08898075545910408
Strategy 1: Exact Match - Disease,20,0.0890057361376673,0.0715745206968641,0.14450739699379106,0.13292481588917482,0.10271521571097866,0.07965471725077054
Strategy 1: Exact Match - Disease,50,0.05567877629063098,0.03905758934818978,0.22153659996174696,0.16466105414632257,0.08492036672838783,0.05615275663097388
Strategy 1: Exact Match - Disease,100,0.03791586998087954,0.023544770350521833,0.3002507716382065,0.17805591836410953,0.0653887576032738,0.038345259306954524
Strategy 2: Exact Match - Drug,5,0.04665391969407266,0.09236270219166672,0.02119760361361664,0.050155710017940225,0.027410954037411766,0.05867693210378547
Strategy 2: Exact Match - Drug,10,0.03116634799235182,0.055689464861906145,0.028416827776733423,0.05854181351606271,0.02779541380309586,0.0511603081927482
Strategy 2: Exact Match - Drug,20,0.02213193116634799,0.036324248724649164,0.037244084514848015,0.0673210162550198,0.026034687504634776,0.042355660315293406
Strategy 2: Exact Match - Drug,50,0.01011472275334608,0.017659035171896934,0.041307154031221885,0.07470426676853117,0.015572426625059407,0.02663263058266758
Strategy 2: Exact Match - Drug,100,0.005181644359464627,0.008978170231150868,0.04201686757680138,0.07529841330659003,0.00898386206943693,0.015364486615272593
Strategy 3: Exact Match - Anatomy,5,0.08833652007648184,0.11926201349643875,0.043462865944900744,0.07256881300944713,0.053922381620735885,0.07982833629239625
Strategy 3: Exact Match - Anatomy,10,0.07007648183556406,0.07619910696302722,0.06488216948191959,0.08732797215443792,0.061787052704859104,0.07017270287648458
Strategy 3: Exact Match - Anatomy,20,0.05387189292543021,0.04856269561114828,0.09291880648838213,0.09930876035577307,0.06301533404970217,0.05541714120353371
Strategy 3: Exact Match - Anatomy,50,0.0372848948374761,0.027798254022686066,0.15092813137419733,0.11963557654437891,0.056816238329123955,0.039647187094661335
Strategy 3: Exact Match - Anatomy,100,0.02670172084130019,0.018800577085811662,0.20744434266324796,0.13673384686711582,0.0458776242927023,0.030541323223082693
Strategy 4: Keyword Search - Disease,5,0.025047801147227534,0.07332415529323984,0.012026868351561856,0.0414466581037596,0.015140274040585206,0.04754374881942335
Strategy 4: Keyword Search - Disease,10,0.027055449330783944,0.055348114253112,0.023726103527446047,0.056998383704090314,0.023456776145872563,0.049956840541597276
Strategy 4: Keyword Search - Disease,20,0.029732313575525814,0.042791292244690436,0.04928333164381817,0.08406738951985442,0.03458633506096558,0.05041845544446134
Strategy 4: Keyword Search - Disease,50,0.028623326959847033,0.031095633509355687,0.11186143226433667,0.1327492124001418,0.04356223248680002,0.046261400918488314
Strategy 4: Keyword Search - Disease,100,0.025956022944550673,0.02109783223247373,0.2031880319681436,0.1624651590010752,0.044707278236558845,0.035034778135807534
Strategy 5: Keyword Search - Drug,5,0.02198852772466539,0.0695125328282846,0.00919327770861142,0.032496570718985505,0.012221242355625854,0.04017651498768232
Strategy 5: Keyword Search - Drug,10,0.022370936902485657,0.04826353797614703,0.01846459528297429,0.045105301538636317,0.018895768335940675,0.041574471181211846
Strategy 5: Keyword Search - Drug,20,0.016730401529636712,0.03171662852633898,0.025945730058668872,0.05450748238304002,0.01912341647213193,0.03629808107342258
Strategy 5: Keyword Search - Drug,50,0.0078585086042065,0.015141242579089607,0.029844587876399084,0.06049427683268518,0.011943183093514585,0.022678980562548117
Strategy 5: Keyword Search - Drug,100,0.004110898661567878,0.007718960277030383,0.031222789290451355,0.06178205687807325,0.0070834139876042364,0.013181676420733646
Strategy 6: Keyword Search - Anatomy,5,0.021988527724665394,0.06670519501795251,0.010209639254723298,0.03687127302405816,0.012770781784343505,0.04131113612035635
Strategy 6: Keyword Search - Anatomy,10,0.020363288718929257,0.04603039512766322,0.01910177073446982,0.05189089147572773,0.018072207810420883,0.042612376409470215
Strategy 6: Keyword Search - Anatomy,20,0.02026768642447419,0.03519034620956562,0.03755615457875048,0.07608285745399522,0.024211705782477423,0.041857068710945584
Strategy 6: Keyword Search - Anatomy,50,0.022982791586998088,0.02427325500338659,0.09540373460106462,0.11540953883185612,0.03516286583137426,0.035949633146496816
Strategy 6: Keyword Search - Anatomy,100,0.01988527724665392,0.017325646980092112,0.15639679474975504,0.13802958214582547,0.03418936968692083,0.02868029663039169
Strategy 7: Semantic Search - Discharge Summary,5,0.1258126195028681,0.13119198808424876,0.06085529080789468,0.08044442109566916,0.07590138477305636,0.08620764365411994
